,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 13:23:06+00:00,0.0,0.0,Neutral
"Indian Institute of Metals (IIM) celebrates its 75 glorious years of service to the Nation
#indianinstituteofmetal… https://t.co/46XjlvJzYh",en,0,0,2021-11-14 13:22:32+00:00,0.0,0.0,Neutral
RT @TataSteelLtd: The children of today will be the leaders of tomorrow. They hold the future in their hands &amp; will be instrumental in buil…,en,0,0,2021-11-14 13:16:34+00:00,0.125,0.0,Neutral
RT @marketing_motiv: Did You Know... #tata #tatasteel #ratantata #market https://t.co/u8p3fDCIYe,en,0,0,2021-11-14 13:06:04+00:00,0.0,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 12:43:13+00:00,0.0,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 12:42:52+00:00,0.0,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 12:28:10+00:00,0.0,0.0,Neutral
"Tata Steel Foundation announces the eighth edition of Samvaad
#tatasteel #bizindustry #samvaad #cultures 

https://t.co/dlmqGfO4nS",en,0,0,2021-11-14 12:06:02+00:00,0.0,0.0,Neutral
"RT @TataSteelLtd: “#TataSteel posted its highest ever underlying quarterly performance with EBITDA and Profit after Tax of Rs 16,618 crores…",en,0,0,2021-11-14 11:56:10+00:00,0.0,0.0,Neutral
@AmitabhJha3 Yes dada mein samaj gaya tha market is confusing because all the company who made good profit in resul… https://t.co/3rTt5zLRkz,en,1,0,2021-11-14 11:51:54+00:00,0.5,0.19999999999999998,Positive
RT @boxchartt: #Nifty #nifty50 #NIFTYFUTURE #stocks #stockstowatch #StocksToBuy #intradaytrading #investing #INTRADAY #boxchart #trading #T…,en,0,0,2021-11-14 11:17:30+00:00,0.0,0.0,Neutral
"RT @FollowCII: Catch Mr TV Narendran, Prez CII and CEO &amp; MD, @TataSteel Ltd, in conversation with Prof Lord Nicholas Stern, IG Patel Chair…",en,0,0,2021-11-14 10:47:42+00:00,0.0,0.0,Neutral
RT @boxchartt: #Nifty #nifty50 #NIFTYFUTURE #stocks #stockstowatch #StocksToBuy #intradaytrading #investing #INTRADAY #boxchart #trading #T…,en,0,0,2021-11-14 10:40:16+00:00,0.0,0.0,Neutral
#tatasteel Tata steel share news today https://t.co/hDiFZsrML8 via @YouTube,en,0,0,2021-11-14 10:22:26+00:00,0.0,0.0,Neutral
RT @boxchartt: #Nifty #nifty50 #NIFTYFUTURE #stocks #stockstowatch #StocksToBuy #intradaytrading #investing #INTRADAY #boxchart #trading #T…,en,0,0,2021-11-14 10:18:05+00:00,0.0,0.0,Neutral
RT @boxchartt: #Nifty #nifty50 #NIFTYFUTURE #stocks #stockstowatch #StocksToBuy #intradaytrading #investing #INTRADAY #boxchart #trading #T…,en,0,0,2021-11-14 10:17:26+00:00,0.0,0.0,Neutral
TATA Steel Positional - #TATASTEEL chart on @TradingView https://t.co/daIWV0V9Js,en,0,0,2021-11-14 10:14:17+00:00,0.0,0.0,Neutral
#Nifty #nifty50 #NIFTYFUTURE #stocks #stockstowatch #StocksToBuy #intradaytrading #investing #INTRADAY #boxchart… https://t.co/pfZICLHg1I,en,3,4,2021-11-14 10:12:04+00:00,0.0,0.0,Neutral
"RT @NiveshakJago: Weekend special ! Do retweet to appreciate the work ✌️

🧵 Thread time

Theme : TATA STOCKS 

@AmitabhJha3 @KillerTrader_…",en,0,0,2021-11-14 09:45:03+00:00,0.5714285714285714,0.44642857142857145,Positive
"#TataPower has given promising
returns consistently as compared to
other stocks in power generation
sector. Kudos t… https://t.co/zw6q8k1eon",en,0,0,2021-11-14 09:41:05+00:00,0.375,0.10833333333333334,Positive
"The mystery behind the fall in #TataSteel’s shares despite a seven-fold rise in profit
 
https://t.co/gqtiurLMiW

B… https://t.co/jxFcgEj5BD",en,16,0,2021-11-14 09:30:00+00:00,0.7,-0.4,Negative
Tata Steel Limited - Copy of Newspaper Publication https://t.co/606noQiYrl,en,0,0,2021-11-14 09:12:33+00:00,0.14285714285714285,-0.07142857142857142,Negative
"RT @NiveshakJago: Weekend special ! Do retweet to appreciate the work ✌️

🧵 Thread time

Theme : TATA STOCKS 

@AmitabhJha3 @KillerTrader_…",en,0,0,2021-11-14 09:09:25+00:00,0.5714285714285714,0.44642857142857145,Positive
